file,rows,benign,attack,attack_fraction,categories
data_1.csv,1000000,1993,998007,0.998007,"{""Normal"": 1993, ""Reconnaissance"": 998007}"
data_2.csv,1000000,4941,995059,0.995059,"{""DoS"": 169840, ""Normal"": 4941, ""Reconnaissance"": 823632, ""Theft"": 1587}"
data_3.csv,1000000,107,999893,0.999893,"{""DoS"": 999893, ""Normal"": 107}"
data_4.csv,1000000,98,999902,0.999902,"{""DoS"": 999902, ""Normal"": 98}"
data_5.csv,1000000,76,999924,0.999924,"{""DoS"": 999924, ""Normal"": 76}"
data_6.csv,1000000,33,999967,0.999967,"{""DoS"": 999967, ""Normal"": 33}"
data_7.csv,1000000,41,999959,0.999959,"{""DoS"": 999959, ""Normal"": 41}"
data_8.csv,1000000,27,999973,0.999973,"{""DoS"": 999973, ""Normal"": 27}"
data_9.csv,1000000,38,999962,0.999962,"{""DoS"": 999962, ""Normal"": 38}"
data_10.csv,1000000,30,999970,0.99997,"{""DoS"": 999970, ""Normal"": 30}"
data_11.csv,1000000,40,999960,0.99996,"{""DoS"": 999960, ""Normal"": 40}"
data_12.csv,1000000,27,999973,0.999973,"{""DoS"": 999973, ""Normal"": 27}"
data_13.csv,1000000,32,999968,0.999968,"{""DoS"": 999968, ""Normal"": 32}"
data_14.csv,1000000,37,999963,0.999963,"{""DoS"": 999963, ""Normal"": 37}"
data_15.csv,1000000,50,999950,0.99995,"{""DoS"": 999950, ""Normal"": 50}"
data_16.csv,1000000,28,999972,0.999972,"{""DoS"": 999972, ""Normal"": 28}"
data_17.csv,1000000,35,999965,0.999965,"{""DoS"": 999965, ""Normal"": 35}"
data_18.csv,1000000,31,999969,0.999969,"{""DoS"": 999969, ""Normal"": 31}"
data_19.csv,1000000,34,999966,0.999966,"{""DoS"": 999966, ""Normal"": 34}"
data_20.csv,1000000,24,999976,0.999976,"{""DoS"": 999976, ""Normal"": 24}"
data_21.csv,1000000,35,999965,0.999965,"{""DoS"": 999965, ""Normal"": 35}"
data_22.csv,1000000,45,999955,0.999955,"{""DoS"": 999955, ""Normal"": 45}"
data_23.csv,1000000,38,999962,0.999962,"{""DoS"": 999962, ""Normal"": 38}"
data_24.csv,1000000,35,999965,0.999965,"{""DoS"": 999965, ""Normal"": 35}"
data_25.csv,1000000,36,999964,0.999964,"{""DoS"": 999964, ""Normal"": 36}"
data_26.csv,1000000,24,999976,0.999976,"{""DoS"": 999976, ""Normal"": 24}"
data_27.csv,1000000,38,999962,0.999962,"{""DoS"": 999962, ""Normal"": 38}"
data_28.csv,1000000,26,999974,0.999974,"{""DoS"": 999974, ""Normal"": 26}"
data_29.csv,1000000,32,999968,0.999968,"{""DoS"": 999968, ""Normal"": 32}"
data_30.csv,1000000,36,999964,0.999964,"{""DoS"": 999964, ""Normal"": 36}"
data_31.csv,1000000,25,999975,0.999975,"{""DoS"": 999975, ""Normal"": 25}"
data_32.csv,1000000,36,999964,0.999964,"{""DoS"": 999964, ""Normal"": 36}"
data_33.csv,1000000,27,999973,0.999973,"{""DoS"": 999973, ""Normal"": 27}"
data_34.csv,1000000,32,999968,0.999968,"{""DoS"": 999968, ""Normal"": 32}"
data_35.csv,1000000,102,999898,0.999898,"{""DDoS"": 163291, ""DoS"": 836607, ""Normal"": 102}"
data_36.csv,1000000,31,999969,0.999969,"{""DDoS"": 999969, ""Normal"": 31}"
data_37.csv,1000000,34,999966,0.999966,"{""DDoS"": 999966, ""Normal"": 34}"
data_38.csv,1000000,29,999971,0.999971,"{""DDoS"": 999971, ""Normal"": 29}"
data_39.csv,1000000,34,999966,0.999966,"{""DDoS"": 999966, ""Normal"": 34}"
data_40.csv,1000000,35,999965,0.999965,"{""DDoS"": 999965, ""Normal"": 35}"
data_41.csv,1000000,31,999969,0.999969,"{""DDoS"": 999969, ""Normal"": 31}"
data_42.csv,1000000,27,999973,0.999973,"{""DDoS"": 999973, ""Normal"": 27}"
data_43.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_44.csv,1000000,39,999961,0.999961,"{""DDoS"": 999961, ""Normal"": 39}"
data_45.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_46.csv,1000000,31,999969,0.999969,"{""DDoS"": 999969, ""Normal"": 31}"
data_47.csv,1000000,36,999964,0.999964,"{""DDoS"": 999964, ""Normal"": 36}"
data_48.csv,1000000,25,999975,0.999975,"{""DDoS"": 999975, ""Normal"": 25}"
data_49.csv,1000000,41,999959,0.999959,"{""DDoS"": 999959, ""Normal"": 41}"
data_50.csv,1000000,30,999970,0.99997,"{""DDoS"": 999970, ""Normal"": 30}"
data_51.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_52.csv,1000000,26,999974,0.999974,"{""DDoS"": 999974, ""Normal"": 26}"
data_53.csv,1000000,34,999966,0.999966,"{""DDoS"": 999966, ""Normal"": 34}"
data_54.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_55.csv,1000000,36,999964,0.999964,"{""DDoS"": 999964, ""Normal"": 36}"
data_56.csv,1000000,32,999968,0.999968,"{""DDoS"": 999968, ""Normal"": 32}"
data_57.csv,1000000,24,999976,0.999976,"{""DDoS"": 999976, ""Normal"": 24}"
data_58.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_59.csv,1000000,34,999966,0.999966,"{""DDoS"": 999966, ""Normal"": 34}"
data_60.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_61.csv,1000000,32,999968,0.999968,"{""DDoS"": 999968, ""Normal"": 32}"
data_62.csv,1000000,28,999972,0.999972,"{""DDoS"": 999972, ""Normal"": 28}"
data_63.csv,1000000,31,999969,0.999969,"{""DDoS"": 999969, ""Normal"": 31}"
data_64.csv,1000000,26,999974,0.999974,"{""DDoS"": 999974, ""Normal"": 26}"
data_65.csv,1000000,35,999965,0.999965,"{""DDoS"": 999965, ""Normal"": 35}"
data_66.csv,1000000,47,999953,0.999953,"{""DDoS"": 999953, ""Normal"": 47}"
data_67.csv,1000000,39,999961,0.999961,"{""DDoS"": 999961, ""Normal"": 39}"
data_68.csv,1000000,28,999972,0.999972,"{""DDoS"": 999972, ""Normal"": 28}"
data_69.csv,1000000,38,999962,0.999962,"{""DDoS"": 999962, ""Normal"": 38}"
data_70.csv,1000000,29,999971,0.999971,"{""DDoS"": 999971, ""Normal"": 29}"
data_71.csv,1000000,28,999972,0.999972,"{""DDoS"": 999972, ""Normal"": 28}"
data_72.csv,1000000,33,999967,0.999967,"{""DDoS"": 999967, ""Normal"": 33}"
data_73.csv,1000000,34,999966,0.999966,"{""DDoS"": 999966, ""Normal"": 34}"
data_74.csv,370443,19,370424,0.9999487100579576,"{""DDoS"": 370424, ""Normal"": 19}"
